Match,H.Odds,A.Odds,H.Kelly,A.Kelly
Newcastle v Crystal Palace,1.87,4.6,38,9
Swansea v Leicester,2.87,2.7,21,23
Man City v Burnley ,1.11,26,59,0
Huddersfield v Man Utd,10,1.4,3,57
Stoke v Bournemouth,2.15,3.6,30,13
Southampton v West Brom,1.85,5,41,9
Bolton v QPR,3.1,2.37,16,25
Aston Villa v Fulham,2.4,2.9,22,16
Derby v Sheff Wed,2.3,3.4,29,15
Wolves v Preston,1.73,5.2,41,7
Bristol City v Leeds,2.1,3.6,30,13
Barnsley v Hull,2.8,2.5,18,21
Brentford v Sunderland,1.87,4,32,9
Sheff Utd v Reading,1.91,4.6,38,10
Middlesbrough v Cardiff,2.1,4,34,13
Nottm Forest v Burton,1.83,4.4,35,9
Millwall v Birmingham,2.3,3.4,29,15
