"","Match","KO","H.Odds","X.Odds","A.Odds","href"
"1","Man Utd v Tottenham","Today 12:30pm",2.1,3.3,3.8,"http://sports.coral.co.uk/football/england/premier-league/man-utd-v-tottenham-8559087.html"
"2","Arsenal v Swansea","Today 3:00pm",1.2,7,17,"http://sports.coral.co.uk/football/england/premier-league/arsenal-v-swansea-8559088.html"
"3","West Brom v Man City","Today 3:00pm",15,6,1.25,"http://sports.coral.co.uk/football/england/premier-league/west-brom-v-man-city-8559089.html"
"4","Crystal Palace v West Ham","Today 3:00pm",2.45,3.25,3.1,"http://sports.coral.co.uk/football/england/premier-league/crystal-palace-v-west-ham-8559090.html"
"5","Watford v Stoke","Today 3:00pm",2.05,3.5,3.8,"http://sports.coral.co.uk/football/england/premier-league/watford-v-stoke-8559091.html"
"6","Liverpool v Huddersfield","Today 3:00pm",1.28,6,12,"http://sports.coral.co.uk/football/england/premier-league/liverpool-v-huddersfield-8559103.html"
"7","Bournemouth v Chelsea","Today 5:30pm",5.25,4.2,1.67,"http://sports.coral.co.uk/football/england/premier-league/bournemouth-v-chelsea-8559092.html"
"8","Sheff Wed v Barnsley","Today 12:30pm",1.73,4,4.8,"http://sports.coral.co.uk/football/england/championship/sheff-wed-v-barnsley-8568497.html"
"9","QPR v Wolves","Today 3:00pm",4.2,3.6,1.95,"http://sports.coral.co.uk/football/england/championship/qpr-v-wolves-8568459.html"
"10","Burton v Ipswich","Today 3:00pm",2.9,3.25,2.6,"http://sports.coral.co.uk/football/england/championship/burton-v-ipswich-8568489.html"
"11","Norwich v Derby","Today 3:00pm",2.3,3.25,3.3,"http://sports.coral.co.uk/football/england/championship/norwich-v-derby-8568490.html"
"12","Reading v Middlesbrough","Today 3:00pm",3,3.1,2.6,"http://sports.coral.co.uk/football/england/championship/reading-v-middlesbrough-8568509.html"
"13","Cardiff v Millwall","Today 3:00pm",1.8,3.6,5,"http://sports.coral.co.uk/football/england/championship/cardiff-v-millwall-8568558.html"
"14","Preston v Brentford","Today 3:00pm",2.3,3.75,3,"http://sports.coral.co.uk/football/england/championship/preston-v-brentford-8568563.html"
"15","Sunderland v Bristol City","Today 3:00pm",2.5,3.4,2.9,"http://sports.coral.co.uk/football/england/championship/sunderland-v-bristol-city-8568579.html"
"16","Fulham v Bolton","Today 3:00pm",1.44,4.75,7.5,"http://sports.coral.co.uk/football/england/championship/fulham-v-bolton-8568639.html"
"17","Hull v Nottm Forest","Today 5:30pm",2,3.75,3.75,"http://sports.coral.co.uk/football/england/championship/hull-v-nottm-forest-8568488.html"
"18","Northampton v Blackpool","Today 2:00pm",2.65,3.25,2.62,"http://sports.coral.co.uk/football/england/league-one/northampton-v-blackpool-8568443.html"
"19","Charlton v AFC Wimbledon","Today 3:00pm",1.95,3.3,4,"http://sports.coral.co.uk/football/england/league-one/charlton-v-afc-wimbledon-8568426.html"
"20","Wigan v Blackburn","Today 3:00pm",2.05,3.25,3.7,"http://sports.coral.co.uk/football/england/league-one/wigan-v-blackburn-8568428.html"
"21","Bristol Rovers v MK Dons","Today 3:00pm",1.95,3.5,3.7,"http://sports.coral.co.uk/football/england/league-one/bristol-rovers-v-mk-dons-8568430.html"
"22","Peterborough v Shrewsbury","Today 3:00pm",2.37,3.3,2.87,"http://sports.coral.co.uk/football/england/league-one/peterborough-v-shrewsbury-8568431.html"
"23","Fleetwood v Oxford Utd","Today 3:00pm",2.55,3.1,2.8,"http://sports.coral.co.uk/football/england/league-one/fleetwood-v-oxford-utd-8568435.html"
"24","Oldham v Scunthorpe","Today 3:00pm",2.8,3.2,2.55,"http://sports.coral.co.uk/football/england/league-one/oldham-v-scunthorpe-8568448.html"
"25","Rotherham v Gillingham","Today 3:00pm",1.5,4.33,5.8,"http://sports.coral.co.uk/football/england/league-one/rotherham-v-gillingham-8568450.html"
"26","Walsall v Southend","Today 3:00pm",2.4,3.3,2.87,"http://sports.coral.co.uk/football/england/league-one/walsall-v-southend-8568453.html"
"27","Plymouth v Rochdale","Today 3:00pm",3.1,3.3,2.25,"http://sports.coral.co.uk/football/england/league-one/plymouth-v-rochdale-8568457.html"
"28","Portsmouth v Bradford","Today 3:00pm",2.2,3.2,3.4,"http://sports.coral.co.uk/football/england/league-one/portsmouth-v-bradford-8568461.html"
"29","Bury v Doncaster","Today 3:00pm",2.8,3.25,2.5,"http://sports.coral.co.uk/football/england/league-one/bury-v-doncaster-8568478.html"
"30","Mansfield v Exeter","Today 3:00pm",2.2,3.3,3.25,"http://sports.coral.co.uk/football/england/league-two/mansfield-v-exeter-8568419.html"
"31","Grimsby v Cambridge Utd","Today 3:00pm",2.75,3.2,2.6,"http://sports.coral.co.uk/football/england/league-two/grimsby-v-cambridge-utd-8568420.html"
"32","Accrington v Barnet","Today 3:00pm",1.91,3.4,4,"http://sports.coral.co.uk/football/england/league-two/accrington-v-barnet-8568422.html"
"33","Wycombe v Cheltenham","Today 3:00pm",2.1,3.5,3.3,"http://sports.coral.co.uk/football/england/league-two/wycombe-v-cheltenham-8568424.html"
"34","Lincoln v Crawley","Today 3:00pm",1.75,3.4,5,"http://sports.coral.co.uk/football/england/league-two/lincoln-v-crawley-8568427.html"
"35","Yeovil v Stevenage","Today 3:00pm",2.8,3.2,2.5,"http://sports.coral.co.uk/football/england/league-two/yeovil-v-stevenage-8568429.html"
"36","Forest Green v Morecambe","Today 3:00pm",2.2,3.4,3.2,"http://sports.coral.co.uk/football/england/league-two/forest-green-v-morecambe-8568433.html"
"37","Port Vale v Swindon","Today 3:00pm",2.55,3,2.9,"http://sports.coral.co.uk/football/england/league-two/port-vale-v-swindon-8568436.html"
"38","Luton v Coventry","Today 3:00pm",2.05,3.3,3.6,"http://sports.coral.co.uk/football/england/league-two/luton-v-coventry-8568439.html"
"39","Colchester v Crewe","Today 3:00pm",2,3.5,3.7,"http://sports.coral.co.uk/football/england/league-two/colchester-v-crewe-8568477.html"
