"","Match","H.Odds","X.Odds","A.Odds","DNB.H.Odds","DNB.A.Odds"
"2","Man City v Arsenal",1.4,5.25,7.5,1.14,5
"3","Everton v Watford",2.25,3.4,3.4,1.57,2.3
"4","Chelsea v Man Utd",2.6,3.2,3,1.73,2
"7","Celta Vigo v Athletic Bilbao",2.1,3.3,3.5,1.53,2.37
"8","Real Sociedad v Eibar",1.53,4.2,6.5,1.18,4.4
"9","Villarreal v Malaga",1.61,3.8,5.5,1.25,3.75
"10","Real Madrid v Las Palmas",1.07,15,29,1.01,17
"11","Koln v Hoffenheim",2.7,3.4,2.45,1.95,1.8
"12","Wolfsburg v Hertha Berlin",2,3.2,4,1.44,2.62
"13","Hearts v Kilmarnock",1.91,3.25,4,1.4,2.75
"18","Nice v Dijon",1.95,3.4,3.7,1.4,2.75
"19","Metz v Lille",3,3.2,2.4,2.05,1.7
"20","Marseille v Caen",1.61,3.9,5.5,1.25,3.75
"21","St-Etienne v Lyon",4,3.6,1.87,2.75,1.4
"23","Chievo v Napoli",8,4.75,1.4,4.5,1.17
"24","Fiorentina v Roma",3,3.5,2.2,2.2,1.61
"25","Lazio v Udinese",1.33,5.25,9,1.11,6
"26","Cagliari v Verona",1.87,3.6,4,1.36,3
"27","Juventus v Benevento",1.06,13,41,1,41
"28","Atalanta v SPAL",1.33,5,9.5,1.11,6
"29","Sassuolo v AC Milan",3.6,3.4,2.05,2.62,1.44
"31","Vitesse v Zwolle",1.85,3.6,3.75,1.4,2.75
"32","Ajax v Utrecht",1.22,6,11,1.07,7.5
"33","PSV v FC Twente",1.2,6.5,13,1.05,9
"34","Feirense v Maritimo",2.45,2.9,2.9,1.73,2
"35","Chaves v Pacos Ferreira",1.95,3.2,3.9,1.4,2.75
"36","Guimaraes v Benfica",5.5,3.9,1.53,4,1.22
"37","Sporting Lisbon v Braga",1.5,4,6.5,1.18,4.4
