"","Match","KO","H.Odds","X.Odds","A.Odds","href"
"1","Chelsea v Everton","Today 7:45pm",1.44,4.33,7,"http://sports.coral.co.uk/football/england/carabao-cup/chelsea-v-everton-8419502.html"
"2","Tottenham v West Ham","Today 8:00pm",1.5,4.33,6.5,"http://sports.coral.co.uk/football/england/carabao-cup/tottenham-v-west-ham-8568623.html"
"3","Formentera v Athletic Bilbao","Today 6:00pm",10,4.75,1.28,"http://sports.coral.co.uk/football/spain/copa-del-rey/formentera-v-athletic-bilbao-8641711.html"
"4","Ponferradina v Villarreal","Today 7:30pm",12,5,1.25,"http://sports.coral.co.uk/football/spain/copa-del-rey/ponferradina-v-villarreal-8641672.html"
"5","Real Valladolid v Leganes","Today 7:30pm",2.4,3,2.87,"http://sports.coral.co.uk/football/spain/copa-del-rey/real-valladolid-v-leganes-8641731.html"
"6","Eibar v Celta Vigo","Today 8:30pm",2.65,3.1,2.37,"http://sports.coral.co.uk/football/spain/copa-del-rey/eibar-v-celta-vigo-8641719.html"
"7","Elche v Atletico Madrid","Today 8:30pm",15,5.2,1.22,"http://sports.coral.co.uk/football/spain/copa-del-rey/elche-v-atletico-madrid-8641748.html"
"13","Dundee v Motherwell","Today 7:45pm",2.8,3.3,2.5,"http://sports.coral.co.uk/football/scotland/ladbrokes-premiership/dundee-v-motherwell-8665407.html"
"14","Rangers v Kilmarnock","Today 7:45pm",1.28,5.5,11,"http://sports.coral.co.uk/football/scotland/ladbrokes-premiership/rangers-v-kilmarnock-8665409.html"
"15","Aberdeen v Celtic","Today 7:45pm",6,4,1.53,"http://sports.coral.co.uk/football/scotland/ladbrokes-premiership/aberdeen-v-celtic-8665419.html"
"22","Palermo v Benevento","Today 10:00am",1.95,3.4,3.25,"http://sports.coral.co.uk/football/italy/primavera-cup/palermo-v-benevento-8477798.html"
"23","Perugia v Cittadella","Today 1:30pm",2.45,3.3,2.45,"http://sports.coral.co.uk/football/italy/primavera-cup/perugia-v-cittadella-8477969.html"
"24","AC Milan v Empoli","Today 2:00pm",1.33,4.5,7.5,"http://sports.coral.co.uk/football/italy/primavera-cup/ac-milan-v-empoli-8477888.html"
"25","Torino v Spezia","Today 2:00pm",1.28,4.8,8.5,"http://sports.coral.co.uk/football/italy/primavera-cup/torino-v-spezia-8477964.html"
"26","Bari v Crotone","Today 2:00pm",1.8,3.6,3.6,"http://sports.coral.co.uk/football/italy/primavera-cup/bari-v-crotone-8477971.html"
"27","Hertha Berlin v Koln","Today 5:30pm",1.8,3.25,4.4,"http://sports.coral.co.uk/football/germany/dfb-pokal/hertha-berlin-v-koln-8467100.html"
"28","VfL Osnabrück v Nurnberg","Today 5:30pm",4.4,3.5,1.7,"http://sports.coral.co.uk/football/germany/dfb-pokal/vfl-osnabrück-v-nurnberg-8467111.html"
"29","Kaiserslautern v Stuttgart","Today 5:30pm",4,3.3,1.8,"http://sports.coral.co.uk/football/germany/dfb-pokal/kaiserslautern-v-stuttgart-8467120.html"
"30","Wolfsburg v Hannover","Today 5:30pm",1.91,3.3,3.6,"http://sports.coral.co.uk/football/germany/dfb-pokal/wolfsburg-v-hannover-8467127.html"
"31","Jahn Regensburg v Heidenheim","Today 7:45pm",2.2,3.25,2.9,"http://sports.coral.co.uk/football/germany/dfb-pokal/jahn-regensburg-v-heidenheim-8467097.html"
"32","RB Leipzig v B. Munich","Today 7:45pm",3.8,3.7,1.75,"http://sports.coral.co.uk/football/germany/dfb-pokal/rb-leipzig-v-b.-munich-8467098.html"
"33","Freiburg v Dynamo Dresden","Today 7:45pm",1.8,3.5,3.9,"http://sports.coral.co.uk/football/germany/dfb-pokal/freiburg-v-dynamo-dresden-8467104.html"
"34","Werder Bremen v Hoffenheim","Today 7:45pm",2.75,3.3,2.3,"http://sports.coral.co.uk/football/germany/dfb-pokal/werder-bremen-v-hoffenheim-8467114.html"
"35","Lille v Valenciennes","Today 5:45pm",1.5,3.8,6,"http://sports.coral.co.uk/football/france/coupe-de-la-ligue/lille-v-valenciennes-8486830.html"
"36","Angers v Nancy","Today 8:05pm",1.75,3.3,4.4,"http://sports.coral.co.uk/football/france/coupe-de-la-ligue/angers-v-nancy-8486788.html"
"37","Tours v Nantes","Today 8:05pm",3.9,3.2,1.87,"http://sports.coral.co.uk/football/france/coupe-de-la-ligue/tours-v-nantes-8486808.html"
"38","Troyes v Amiens","Today 8:05pm",2.15,3,3.3,"http://sports.coral.co.uk/football/france/coupe-de-la-ligue/troyes-v-amiens-8486814.html"
"39","Toulouse v Clermont","Today 8:05pm",1.6,3.6,5,"http://sports.coral.co.uk/football/france/coupe-de-la-ligue/toulouse-v-clermont-8486821.html"
"40","Dijon v Rennes","Today 8:05pm",2.3,3.2,2.8,"http://sports.coral.co.uk/football/france/coupe-de-la-ligue/dijon-v-rennes-8486825.html"
"41","Strasbourg v St-Etienne","Today 8:05pm",2.7,3.1,2.45,"http://sports.coral.co.uk/football/france/coupe-de-la-ligue/strasbourg-v-st-etienne-8486852.html"
"42","Metz v Red Star","Today 8:05pm",1.67,3.5,4.8,"http://sports.coral.co.uk/football/france/coupe-de-la-ligue/metz-v-red-star-8640558.html"
"43","VVV Venlo v Utrecht","Today 5:30pm",2.7,3.2,2.3,"http://sports.coral.co.uk/football/netherlands/knvb-cup/vvv-venlo-v-utrecht-8639874.html"
"44","Willem II v Heerenveen","Today 6:45pm",2.65,3.25,2.3,"http://sports.coral.co.uk/football/netherlands/knvb-cup/willem-ii-v-heerenveen-8639863.html"
"45","Roda JC v Groningen","Today 6:45pm",2.7,3.3,2.2,"http://sports.coral.co.uk/football/netherlands/knvb-cup/roda-jc-v-groningen-8639864.html"
"48","Nacional v Sporting Lisbon B","Today 5:00pm",1.67,3.5,4.4,"http://sports.coral.co.uk/football/european-a-z/portugal/liga-de-honra/nacional-v-sporting-lisbon-b-8515904.html"
